disease,symptoms
Influenza,"Fever, Cough, Sore Throat, Runny Nose, Body Aches, Fatigue"
COVID-19,"Fever, Cough, Shortness of Breath, Loss of Taste or Smell, Fatigue"
Diabetes,"Increased Thirst, Frequent Urination, Unexplained Weight Loss, Fatigue, Blurred Vision"
Hypertension,"Headache, Dizziness, Nosebleeds, Blurred Vision, Shortness of Breath"
Asthma,"Wheezing, Shortness of Breath, Chest Tightness, Coughing"
Tuberculosis,"Chronic Cough, Fever, Night Sweats, Weight Loss, Fatigue"
Migraine,"Severe Headache, Nausea, Sensitivity to Light, Sensitivity to Sound"
Pneumonia,"Cough, Fever, Chest Pain, Difficulty Breathing, Fatigue"
Dengue Fever,"High Fever, Severe Headache, Pain Behind Eyes, Joint Pain, Rash"
Malaria,"Fever, Chills, Sweating, Muscle Pain, Nausea"
Anemia,"Fatigue, Pale Skin, Shortness of Breath, Dizziness, Cold Hands and Feet"
Arthritis,"Joint Pain, Swelling, Stiffness, Reduced Range of Motion"
Chickenpox,"Itchy Rash, Fever, Fatigue, Loss of Appetite"
Hepatitis,"Jaundice, Fatigue, Nausea, Abdominal Pain, Dark Urine"
Typhoid,"High Fever, Weakness, Abdominal Pain, Loss of Appetite, Diarrhea"
Measles,"Fever, Rash, Cough, Runny Nose, Red Eyes"
Mumps,"Swollen Salivary Glands, Fever, Headache, Muscle Aches, Fatigue"
Rubella,"Mild Fever, Rash, Swollen Lymph Nodes, Red Eyes, Joint Pain"
Ebola,"Severe Fever, Vomiting, Diarrhea, Bleeding, Muscle Pain"
Zika Virus,"Mild Fever, Rash, Joint Pain, Red Eyes, Headache"
Cholera,"Severe Diarrhea, Dehydration, Vomiting, Leg Cramps"
Leptospirosis,"High Fever, Headache, Chills, Muscle Aches, Jaundice"
Tetanus,"Muscle Stiffness, Lockjaw, Difficulty Swallowing, Fever, Sweating"
Rabies,"Fever, Anxiety, Hydrophobia, Excess Salivation, Paralysis"
Yellow Fever,"High Fever, Jaundice, Bleeding, Organ Failure, Headache"
Plague,"Swollen Lymph Nodes, Fever, Chills, Weakness, Cough"
Polio,"Muscle Weakness, Paralysis, Fever, Sore Throat, Stiff Neck"
Whooping Cough,"Severe Coughing Fits, Vomiting, Fatigue, Difficulty Breathing"
Scarlet Fever,"Sore Throat, Red Rash, Fever, Swollen Tonsils, Headache"
HIV/AIDS,"Chronic Fatigue, Weight Loss, Frequent Infections, Night Sweats"
Lupus,"Fatigue, Joint Pain, Rash, Fever, Kidney Problems"
Multiple Sclerosis,"Muscle Weakness, Vision Problems, Fatigue, Numbness, Dizziness"
Parkinson’s Disease,"Tremors, Slow Movement, Stiffness, Loss of Balance"
Alzheimer’s Disease,"Memory Loss, Confusion, Difficulty Communicating, Mood Changes"
Celiac Disease,"Diarrhea, Bloating, Fatigue, Weight Loss, Skin Rash"
Crohn’s Disease,"Abdominal Pain, Diarrhea, Weight Loss, Fatigue, Fever"
Ulcerative Colitis,"Bloody Diarrhea, Abdominal Pain, Weight Loss, Fatigue"
Gastritis,"Stomach Pain, Nausea, Vomiting, Bloating, Loss of Appetite"
Peptic Ulcer,"Burning Stomach Pain, Nausea, Bloating, Weight Loss"
GERD,"Heartburn, Chest Pain, Difficulty Swallowing, Chronic Cough"
Appendicitis,"Severe Abdominal Pain, Fever, Nausea, Vomiting, Swelling"
Pancreatitis,"Severe Abdominal Pain, Nausea, Vomiting, Fever, Weight Loss"
Hepatitis B,"Fatigue, Jaundice, Nausea, Dark Urine, Abdominal Pain"
Kidney Stones,"Severe Pain, Blood in Urine, Frequent Urination, Nausea"
Urinary Tract Infection,"Burning Urination, Frequent Urination, Fever, Back Pain"
Prostate Cancer,"Difficulty Urinating, Blood in Urine, Pelvic Pain, Weight Loss"
Ovarian Cancer,"Abdominal Bloating, Pelvic Pain, Weight Loss, Fatigue"
Breast Cancer,"Lump in Breast, Nipple Discharge, Swelling, Skin Changes"
Lung Cancer,"Persistent Cough, Chest Pain, Weight Loss, Shortness of Breath"
Liver Cancer,"Abdominal Pain, Jaundice, Nausea, Unexplained Weight Loss"
Colon Cancer,"Blood in Stool, Abdominal Pain, Weight Loss, Fatigue"
Skin Cancer,"Mole Changes, Skin Lesions, Itching, Bleeding, Red Patches"
Leukemia,"Frequent Infections, Fatigue, Unexplained Weight Loss, Easy Bruising"
Lymphoma,"Swollen Lymph Nodes, Night Sweats, Fatigue, Unexplained Fever"
Brain Tumor,"Headache, Nausea, Vision Problems, Memory Loss, Dizziness"
Influenza,"Fever, Cough, Sore Throat, Runny Nose, Body Aches, Fatigue"
COVID-19,"Fever, Cough, Shortness of Breath, Loss of Taste or Smell, Fatigue"
Diabetes,"Increased Thirst, Frequent Urination, Unexplained Weight Loss, Fatigue, Blurred Vision"
Hypertension,"Headache, Dizziness, Nosebleeds, Blurred Vision, Shortness of Breath"
Asthma,"Wheezing, Shortness of Breath, Chest Tightness, Coughing"
Tuberculosis,"Chronic Cough, Fever, Night Sweats, Weight Loss, Fatigue"
Migraine,"Severe Headache, Nausea, Sensitivity to Light, Sensitivity to Sound"
Pneumonia,"Cough, Fever, Chest Pain, Difficulty Breathing, Fatigue"
Dengue Fever,"High Fever, Severe Headache, Pain Behind Eyes, Joint Pain, Rash"
Malaria,"Fever, Chills, Sweating, Muscle Pain, Nausea"
Anemia,"Fatigue, Pale Skin, Shortness of Breath, Dizziness, Cold Hands and Feet"
Arthritis,"Joint Pain, Swelling, Stiffness, Reduced Range of Motion"
Chickenpox,"Itchy Rash, Fever, Fatigue, Loss of Appetite"
Hepatitis,"Jaundice, Fatigue, Nausea, Abdominal Pain, Dark Urine"
Typhoid,"High Fever, Weakness, Abdominal Pain, Loss of Appetite, Diarrhea"
Measles,"Fever, Rash, Cough, Runny Nose, Red Eyes"
Mumps,"Swollen Salivary Glands, Fever, Headache, Muscle Aches, Fatigue"
Rubella,"Mild Fever, Rash, Swollen Lymph Nodes, Red Eyes, Joint Pain"
Ebola,"Severe Fever, Vomiting, Diarrhea, Bleeding, Muscle Pain"
Zika Virus,"Mild Fever, Rash, Joint Pain, Red Eyes, Headache"
Cholera,"Severe Diarrhea, Dehydration, Vomiting, Leg Cramps"
Leptospirosis,"High Fever, Headache, Chills, Muscle Aches, Jaundice"
Tetanus,"Muscle Stiffness, Lockjaw, Difficulty Swallowing, Fever, Sweating"
Rabies,"Fever, Anxiety, Hydrophobia, Excess Salivation, Paralysis"
Yellow Fever,"High Fever, Jaundice, Bleeding, Organ Failure, Headache"
Plague,"Swollen Lymph Nodes, Fever, Chills, Weakness, Cough"
Polio,"Muscle Weakness, Paralysis, Fever, Sore Throat, Stiff Neck"
Whooping Cough,"Severe Coughing Fits, Vomiting, Fatigue, Difficulty Breathing"
Scarlet Fever,"Sore Throat, Red Rash, Fever, Swollen Tonsils, Headache"
HIV/AIDS,"Chronic Fatigue, Weight Loss, Frequent Infections, Night Sweats"
Lupus,"Fatigue, Joint Pain, Rash, Fever, Kidney Problems"
Multiple Sclerosis,"Muscle Weakness, Vision Problems, Fatigue, Numbness, Dizziness"
Parkinson’s Disease,"Tremors, Slow Movement, Stiffness, Loss of Balance"
Alzheimer’s Disease,"Memory Loss, Confusion, Difficulty Communicating, Mood Changes"
Celiac Disease,"Diarrhea, Bloating, Fatigue, Weight Loss, Skin Rash"
Crohn’s Disease,"Abdominal Pain, Diarrhea, Weight Loss, Fatigue, Fever"
Ulcerative Colitis,"Bloody Diarrhea, Abdominal Pain, Weight Loss, Fatigue"
Gastritis,"Stomach Pain, Nausea, Vomiting, Bloating, Loss of Appetite"
Peptic Ulcer,"Burning Stomach Pain, Nausea, Bloating, Weight Loss"
GERD,"Heartburn, Chest Pain, Difficulty Swallowing, Chronic Cough"
Appendicitis,"Severe Abdominal Pain, Fever, Nausea, Vomiting, Swelling"
Pancreatitis,"Severe Abdominal Pain, Nausea, Vomiting, Fever, Weight Loss"
Hepatitis B,"Fatigue, Jaundice, Nausea, Dark Urine, Abdominal Pain"
Kidney Stones,"Severe Pain, Blood in Urine, Frequent Urination, Nausea"
Urinary Tract Infection,"Burning Urination, Frequent Urination, Fever, Back Pain"
Prostate Cancer,"Difficulty Urinating, Blood in Urine, Pelvic Pain, Weight Loss"
Ovarian Cancer,"Abdominal Bloating, Pelvic Pain, Weight Loss, Fatigue"
Breast Cancer,"Lump in Breast, Nipple Discharge, Swelling, Skin Changes"
Lung Cancer,"Persistent Cough, Chest Pain, Weight Loss, Shortness of Breath"
Liver Cancer,"Abdominal Pain, Jaundice, Nausea, Unexplained Weight Loss"
Colon Cancer,"Blood in Stool, Abdominal Pain, Weight Loss, Fatigue"
Skin Cancer,"Mole Changes, Skin Lesions, Itching, Bleeding, Red Patches"
Leukemia,"Frequent Infections, Fatigue, Unexplained Weight Loss, Easy Bruising"
Lymphoma,"Swollen Lymph Nodes, Night Sweats, Fatigue, Unexplained Fever"
Brain Tumor,"Headache, Nausea, Vision Problems, Memory Loss, Dizziness"
Influenza,"Fever, Cough, Sore Throat, Runny Nose, Body Aches, Fatigue"
COVID-19,"Fever, Cough, Shortness of Breath, Loss of Taste or Smell, Fatigue"
Diabetes,"Increased Thirst, Frequent Urination, Unexplained Weight Loss, Fatigue, Blurred Vision"
Hypertension,"Headache, Dizziness, Nosebleeds, Blurred Vision, Shortness of Breath"
Asthma,"Wheezing, Shortness of Breath, Chest Tightness, Coughing"
Tuberculosis,"Chronic Cough, Fever, Night Sweats, Weight Loss, Fatigue"
Migraine,"Severe Headache, Nausea, Sensitivity to Light, Sensitivity to Sound"
Pneumonia,"Cough, Fever, Chest Pain, Difficulty Breathing, Fatigue"
Dengue Fever,"High Fever, Severe Headache, Pain Behind Eyes, Joint Pain, Rash"
Malaria,"Fever, Chills, Sweating, Muscle Pain, Nausea"
Anemia,"Fatigue, Pale Skin, Shortness of Breath, Dizziness, Cold Hands and Feet"
Arthritis,"Joint Pain, Swelling, Stiffness, Reduced Range of Motion"
Chickenpox,"Itchy Rash, Fever, Fatigue, Loss of Appetite"
Hepatitis,"Jaundice, Fatigue, Nausea, Abdominal Pain, Dark Urine"
Typhoid,"High Fever, Weakness, Abdominal Pain, Loss of Appetite, Diarrhea"
Measles,"Fever, Rash, Cough, Runny Nose, Red Eyes"
Mumps,"Swollen Salivary Glands, Fever, Headache, Muscle Aches, Fatigue"
Rubella,"Mild Fever, Rash, Swollen Lymph Nodes, Red Eyes, Joint Pain"
Ebola,"Severe Fever, Vomiting, Diarrhea, Bleeding, Muscle Pain"
Zika Virus,"Mild Fever, Rash, Joint Pain, Red Eyes, Headache"
Cholera,"Severe Diarrhea, Dehydration, Vomiting, Leg Cramps"
Leptospirosis,"High Fever, Headache, Chills, Muscle Aches, Jaundice"
Tetanus,"Muscle Stiffness, Lockjaw, Difficulty Swallowing, Fever, Sweating"
Rabies,"Fever, Anxiety, Hydrophobia, Excess Salivation, Paralysis"
Yellow Fever,"High Fever, Jaundice, Bleeding, Organ Failure, Headache"
Plague,"Swollen Lymph Nodes, Fever, Chills, Weakness, Cough"
Polio,"Muscle Weakness, Paralysis, Fever, Sore Throat, Stiff Neck"
Whooping Cough,"Severe Coughing Fits, Vomiting, Fatigue, Difficulty Breathing"
Scarlet Fever,"Sore Throat, Red Rash, Fever, Swollen Tonsils, Headache"
HIV/AIDS,"Chronic Fatigue, Weight Loss, Frequent Infections, Night Sweats"
Lupus,"Fatigue, Joint Pain, Rash, Fever, Kidney Problems"
Multiple Sclerosis,"Muscle Weakness, Vision Problems, Fatigue, Numbness, Dizziness"
Parkinson’s Disease,"Tremors, Slow Movement, Stiffness, Loss of Balance"
Alzheimer’s Disease,"Memory Loss, Confusion, Difficulty Communicating, Mood Changes"
Celiac Disease,"Diarrhea, Bloating, Fatigue, Weight Loss, Skin Rash"
Crohn’s Disease,"Abdominal Pain, Diarrhea, Weight Loss, Fatigue, Fever"
Ulcerative Colitis,"Bloody Diarrhea, Abdominal Pain, Weight Loss, Fatigue"
Gastritis,"Stomach Pain, Nausea, Vomiting, Bloating, Loss of Appetite"
Peptic Ulcer,"Burning Stomach Pain, Nausea, Bloating, Weight Loss"
GERD,"Heartburn, Chest Pain, Difficulty Swallowing, Chronic Cough"
Appendicitis,"Severe Abdominal Pain, Fever, Nausea, Vomiting, Swelling"
Pancreatitis,"Severe Abdominal Pain, Nausea, Vomiting, Fever, Weight Loss"
Hepatitis B,"Fatigue, Jaundice, Nausea, Dark Urine, Abdominal Pain"
Kidney Stones,"Severe Pain, Blood in Urine, Frequent Urination, Nausea"
Urinary Tract Infection,"Burning Urination, Frequent Urination, Fever, Back Pain"
Prostate Cancer,"Difficulty Urinating, Blood in Urine, Pelvic Pain, Weight Loss"
Ovarian Cancer,"Abdominal Bloating, Pelvic Pain, Weight Loss, Fatigue"
Breast Cancer,"Lump in Breast, Nipple Discharge, Swelling, Skin Changes"
Lung Cancer,"Persistent Cough, Chest Pain, Weight Loss, Shortness of Breath"
Liver Cancer,"Abdominal Pain, Jaundice, Nausea, Unexplained Weight Loss"
Colon Cancer,"Blood in Stool, Abdominal Pain, Weight Loss, Fatigue"
Skin Cancer,"Mole Changes, Skin Lesions, Itching, Bleeding, Red Patches"
Leukemia,"Frequent Infections, Fatigue, Unexplained Weight Loss, Easy Bruising"
Lymphoma,"Swollen Lymph Nodes, Night Sweats, Fatigue, Unexplained Fever"
Brain Tumor,"Headache, Nausea, Vision Problems, Memory Loss, Dizziness"
Influenza,"Fever, Cough, Sore Throat, Runny Nose, Body Aches, Fatigue"
COVID-19,"Fever, Cough, Shortness of Breath, Loss of Taste or Smell, Fatigue"
Diabetes,"Increased Thirst, Frequent Urination, Unexplained Weight Loss, Fatigue, Blurred Vision"
Hypertension,"Headache, Dizziness, Nosebleeds, Blurred Vision, Shortness of Breath"
Asthma,"Wheezing, Shortness of Breath, Chest Tightness, Coughing"
Tuberculosis,"Chronic Cough, Fever, Night Sweats, Weight Loss, Fatigue"
Migraine,"Severe Headache, Nausea, Sensitivity to Light, Sensitivity to Sound"
Pneumonia,"Cough, Fever, Chest Pain, Difficulty Breathing, Fatigue"
Dengue Fever,"High Fever, Severe Headache, Pain Behind Eyes, Joint Pain, Rash"
Malaria,"Fever, Chills, Sweating, Muscle Pain, Nausea"
Anemia,"Fatigue, Pale Skin, Shortness of Breath, Dizziness, Cold Hands and Feet"
Arthritis,"Joint Pain, Swelling, Stiffness, Reduced Range of Motion"
Chickenpox,"Itchy Rash, Fever, Fatigue, Loss of Appetite"
Hepatitis,"Jaundice, Fatigue, Nausea, Abdominal Pain, Dark Urine"
Typhoid,"High Fever, Weakness, Abdominal Pain, Loss of Appetite, Diarrhea"
Measles,"Fever, Rash, Cough, Runny Nose, Red Eyes"
Mumps,"Swollen Salivary Glands, Fever, Headache, Muscle Aches, Fatigue"
Rubella,"Mild Fever, Rash, Swollen Lymph Nodes, Red Eyes, Joint Pain"
Ebola,"Severe Fever, Vomiting, Diarrhea, Bleeding, Muscle Pain"
Zika Virus,"Mild Fever, Rash, Joint Pain, Red Eyes, Headache"
Cholera,"Severe Diarrhea, Dehydration, Vomiting, Leg Cramps"
Leptospirosis,"High Fever, Headache, Chills, Muscle Aches, Jaundice"
Tetanus,"Muscle Stiffness, Lockjaw, Difficulty Swallowing, Fever, Sweating"
Rabies,"Fever, Anxiety, Hydrophobia, Excess Salivation, Paralysis"
Yellow Fever,"High Fever, Jaundice, Bleeding, Organ Failure, Headache"
Plague,"Swollen Lymph Nodes, Fever, Chills, Weakness, Cough"
Polio,"Muscle Weakness, Paralysis, Fever, Sore Throat, Stiff Neck"
Whooping Cough,"Severe Coughing Fits, Vomiting, Fatigue, Difficulty Breathing"
Scarlet Fever,"Sore Throat, Red Rash, Fever, Swollen Tonsils, Headache"
HIV/AIDS,"Chronic Fatigue, Weight Loss, Frequent Infections, Night Sweats"
Lupus,"Fatigue, Joint Pain, Rash, Fever, Kidney Problems"
Multiple Sclerosis,"Muscle Weakness, Vision Problems, Fatigue, Numbness, Dizziness"
Parkinson’s Disease,"Tremors, Slow Movement, Stiffness, Loss of Balance"
Alzheimer’s Disease,"Memory Loss, Confusion, Difficulty Communicating, Mood Changes"
Celiac Disease,"Diarrhea, Bloating, Fatigue, Weight Loss, Skin Rash"
